createdAt,actor,entityType,entityId,action,meta
2026-05-12T07:47:29.157Z,sameer0000@gmail.com,approval,6a02dadc7f67447db40d41fd,approved,"{""taskId"":""69fc919ab9e85d8e32757c03""}"
2026-05-12T07:46:37.126Z,sameer1@gmail.com,approval,69fc919ab9e85d8e32757c03,requested,"{""title"":""Complete the tests""}"
2026-05-12T07:41:54.499Z,sameer0000@gmail.com,approval,6a02d799bf2013bb87e45dee,approved,"{""taskId"":""69fc6c90b9705fbc4a5a40d3""}"
2026-05-12T07:32:42.591Z,sameer1@gmail.com,approval,69fc6c90b9705fbc4a5a40d3,requested,"{""title"":""a""}"
2026-05-12T07:31:38.985Z,sameer0000@gmail.com,member,69f06574fd942f2f0dfa4584,invited,"{""email"":""sameer1@gmail.com"",""role"":""member""}"
2026-05-12T07:31:14.760Z,sameer0000@gmail.com,task,69f9a66479faa6bd20248cb7,deleted,"{""title"":""Complete the tests""}"
2026-05-12T07:31:05.615Z,sameer0000@gmail.com,task,69fc6c7bb9705fbc4a5a40d0,deleted,"{""title"":""a""}"
2026-05-12T07:30:54.492Z,sameer0000@gmail.com,task,69fc6c90b9705fbc4a5a40d3,updated,"{""status"":""in_progress"",""title"":""a""}"
2026-05-12T07:30:45.979Z,sameer0000@gmail.com,task,69fc919ab9e85d8e32757c03,updated,"{""status"":""in_progress"",""title"":""Complete the tests""}"
2026-05-12T07:29:50.982Z,sameer0000@gmail.com,project,69f33fce10f82bf73bf69e39,enterprise_updated,"{""keys"":[""requireApprovalForCompletion"",""sla"",""integrations""]}"
2026-05-12T06:35:39.784Z,sameer0000@gmail.com,api_key,6a02ca3bbf2013bb87e45dc0,created,"{""label"":""Automation export"",""keyPrefix"":""tm_90b25cd06""}"
2026-05-12T06:35:38.091Z,sameer0000@gmail.com,api_key,6a02c855bf2013bb87e45dbd,revoked,"{""label"":""Automation export""}"
2026-05-12T06:27:33.816Z,sameer0000@gmail.com,api_key,6a02c855bf2013bb87e45dbd,created,"{""label"":""Automation export"",""keyPrefix"":""tm_ca6d31cef""}"
2026-05-12T06:27:26.148Z,sameer0000@gmail.com,api_key,6a02c75cbf2013bb87e45dba,revoked,"{""label"":""Automation export""}"
2026-05-12T06:23:24.719Z,sameer0000@gmail.com,api_key,6a02c75cbf2013bb87e45dba,created,"{""label"":""Automation export"",""keyPrefix"":""tm_f6e83ea2b""}"
2026-05-12T06:23:22.366Z,sameer0000@gmail.com,api_key,6a02c4c9bf2013bb87e45db7,revoked,"{""label"":""Automation export""}"
2026-05-12T06:12:25.834Z,sameer0000@gmail.com,api_key,6a02c4c9bf2013bb87e45db7,created,"{""label"":""Automation export"",""keyPrefix"":""tm_0cf17111b""}"
2026-05-11T09:40:12.659Z,sameer0000@gmail.com,task,69fc6c90b9705fbc4a5a40d3,updated,"{""status"":""done"",""title"":""a""}"
2026-05-08T11:34:30.639Z,sameer0000@gmail.com,task,69fc6c90b9705fbc4a5a40d3,updated,"{""status"":""in_progress"",""title"":""a""}"
2026-05-08T11:30:31.690Z,sameer0000@gmail.com,task,69fc919ab9e85d8e32757c03,updated,"{""status"":""done"",""title"":""Complete the tests""}"
2026-05-08T11:30:13.389Z,sameer0000@gmail.com,task,69fc6c7bb9705fbc4a5a40d0,updated,"{""status"":""done"",""title"":""a""}"
2026-05-08T11:30:08.165Z,sameer0000@gmail.com,task,69f9a66479faa6bd20248cb7,updated,"{""status"":""done"",""title"":""Complete the tests""}"
2026-05-08T10:19:53.667Z,sameer0000@gmail.com,task,69f9a66479faa6bd20248cb7,updated,"{""status"":""in_progress"",""title"":""Complete the tests""}"
2026-05-08T10:19:49.840Z,sameer0000@gmail.com,task,69fc919ab9e85d8e32757c03,updated,"{""status"":""in_progress"",""title"":""Complete the tests""}"
2026-05-07T13:20:58.524Z,sameer0000@gmail.com,task,69fc6c7bb9705fbc4a5a40d0,updated,"{""status"":""todo"",""title"":""a""}"
2026-05-07T13:20:42.984Z,sameer0000@gmail.com,task,69fc6c7bb9705fbc4a5a40d0,updated,"{""status"":""done"",""title"":""a""}"
2026-05-07T13:20:37.713Z,sameer0000@gmail.com,task,69f9a69a79faa6bd20248cbb,updated,"{""status"":""done"",""title"":""Complete the sheet""}"
2026-05-07T13:20:25.986Z,sameer0000@gmail.com,task,69f9a66479faa6bd20248cb7,updated,"{""status"":""done"",""title"":""Complete the tests""}"
2026-05-07T13:07:04.578Z,sameer0000@gmail.com,task,69fc6c90b9705fbc4a5a40d3,updated,"{""status"":""done"",""title"":""a""}"
2026-05-07T10:42:24.546Z,sameer0000@gmail.com,task,69fc6c90b9705fbc4a5a40d3,created,"{""title"":""a""}"
2026-05-07T10:42:03.560Z,sameer0000@gmail.com,task,69fc6c7bb9705fbc4a5a40d0,created,"{""title"":""a""}"
2026-05-07T10:41:42.100Z,sameer0000@gmail.com,task,69f9a69a79faa6bd20248cbb,updated,"{""status"":""in_progress"",""title"":""Complete the sheet""}"
2026-05-07T10:24:02.863Z,sameer0000@gmail.com,task,69f9a66479faa6bd20248cb7,updated,"{""status"":""todo"",""title"":""Complete the tests""}"
2026-05-07T10:20:55.013Z,sameer0000@gmail.com,task,69f9a66479faa6bd20248cb7,updated,"{""status"":""in_progress"",""title"":""Complete the tests""}"
2026-05-07T05:52:41.228Z,sameer0000@gmail.com,task,69fc288ced40a9786ec02dee,deleted,"{""title"":""Complete the tests""}"
2026-05-07T05:52:32.447Z,sameer0000@gmail.com,task,69fc288ced40a9786ec02dee,updated,"{""status"":""in_progress"",""title"":""Complete the tests""}"
2026-05-07T05:52:12.243Z,sameer0000@gmail.com,task,69f9a66479faa6bd20248cb7,updated,"{""status"":""done"",""title"":""Complete the tests""}"
2026-05-05T12:32:41.870Z,sameer0000@gmail.com,task,69f9a69a79faa6bd20248cbb,updated,"{""status"":""done"",""title"":""Complete the sheet""}"
2026-05-05T12:32:26.722Z,sameer0000@gmail.com,task,69f9a6ca79faa6bd20248cbe,deleted,"{""title"":""Website UI""}"
2026-05-05T12:10:13.293Z,sameer0000@gmail.com,task,69f9a69a79faa6bd20248cbb,updated,"{""status"":""in_progress"",""title"":""Complete the sheet""}"
2026-05-05T08:14:02.490Z,sameer0000@gmail.com,task,69f9a6ca79faa6bd20248cbe,created,"{""title"":""Website UI""}"
2026-05-05T08:13:15.133Z,sameer0000@gmail.com,task,69f9a69a79faa6bd20248cbb,created,"{""title"":""Complete the sheet""}"
2026-05-05T08:12:20.983Z,sameer0000@gmail.com,task,69f9a66479faa6bd20248cb7,created,"{""title"":""Complete the tests""}"
2026-05-05T08:07:42.765Z,sameer0000@gmail.com,task,69eb7245a77a2b7babcfd4c5,deleted,"{""title"":""Password Manager Tool""}"
2026-05-05T08:07:39.882Z,sameer0000@gmail.com,task,69f04c7fb323cb2132ce180c,deleted,"{""title"":""Cloud""}"
2026-05-05T08:07:14.490Z,sameer0000@gmail.com,task,69f04c7fb323cb2132ce180c,updated,"{""status"":""done"",""title"":""Cloud""}"
2026-05-05T08:07:02.633Z,sameer0000@gmail.com,task,69f04c7fb323cb2132ce180c,updated,"{""status"":""todo"",""title"":""Cloud""}"
2026-05-04T06:24:25.098Z,sameer0000@gmail.com,task,69f04c7fb323cb2132ce180c,updated,"{""status"":""in_progress"",""title"":""Cloud""}"
